candidate_id,rank,score,education,skills,location,experience_years,reasoning
CAND_0039383,24,0.855,b.sc in artificial intelligence,"gans, faiss, asr, kubeflow, recommendation systems","gurgaon, haryana",7.1,Built ranking systems at scale; Relevant title: applied ml engineer
CAND_0044890,25,0.855,b.tech in machine learning,"faiss, rust, forecasting, llms, bentoml","bhubaneswar, odisha",5.0,Strong ML background with 5.0 years experience; Strong title match: ai research engineer
CAND_0061257,26,0.855,m.s. in computer science; m.e. in artificial intelligence,"peft, haystack, time series, machine learning, information retrieval systems","noida, uttar pradesh",8.0,Built ranking systems at scale; Relevant title: staff machine learning engineer
CAND_0099806,27,0.855,m.tech in computer engineering,"lora, opencv, statistical modeling, rag, agile","bhubaneswar, odisha",4.6,Built ranking systems at scale; Strong title match: ai engineer
CAND_0040200,28,0.85,m.sc in artificial intelligence,"faiss, nlp, apache beam, weaviate, computer vision","pune, maharashtra",5.5,Strong ML background with 5.5 years experience; Strong title match: ai research engineer
CAND_0068932,29,0.85,m.s. in electrical engineering,"marketing, javascript, agile, mlops, reinforcement learning","noida, uttar pradesh",5.2,Built ranking systems at scale; Relevant title: ml engineer
CAND_0069905,30,0.85,m.e. in computer engineering,"flask, redux, lora, computer vision, speech recognition","bhubaneswar, odisha",6.6,Strong retrieval/search systems expertise
CAND_0077337,31,0.85,b.tech in computer engineering,"gans, semantic search, qlora, pgvector, pinecone","kochi, kerala",7.0,Built ranking systems at scale
CAND_0010149,32,0.845,m.e. in computer engineering; b.sc in machine learning,"computer vision, diffusion models, milvus, vector search, object detection","bangalore, karnataka",6.9,Built ranking systems at scale
CAND_0033179,33,0.845,m.s. in statistics,"fastapi, weights & biases, hugging face transformers, opensearch, diffusion models","ahmedabad, gujarat",6.9,Built ranking systems at scale
CAND_0043304,34,0.845,b.tech in electronics; ph.d in statistics,"langchain, sentence transformers, machine learning, diffusion models, kubeflow","trivandrum, kerala",6.5,Built ranking systems at scale
CAND_0004402,35,0.845,m.tech in information technology; b.tech in information technology,"typescript, tts, opensearch, speech recognition, object detection","delhi, delhi",6.0,Built ranking systems at scale
CAND_0018888,36,0.845,m.sc in chemical engineering; b.tech in chemical engineering,"diffusion models, gans, mlflow, bentoml, reinforcement learning","noida, uttar pradesh",6.5,Strong ML background with 6.5 years experience
CAND_0043829,37,0.845,b.sc in computer engineering; ph.d in mathematics,"machine learning, qdrant, go, dbt, hadoop","bangalore, karnataka",4.8,Strong ML background with 4.8 years experience
CAND_0058575,38,0.845,m.tech in computer engineering; m.e. in data science,"mlops, machine learning, llamaindex, time series, recommendation systems","chennai, tamil nadu",5.8,Strong retrieval/search systems expertise
CAND_0061339,39,0.845,b.sc in data science,"information retrieval, yolo, data pipelines, milvus, bentoml","chandigarh, chandigarh",4.2,Built ranking systems at scale
CAND_0055992,40,0.845,m.e. in computer engineering; b.tech in information technology,"information retrieval, mlflow, faiss, rag, feature engineering",sydney,16.9,Built ranking systems at scale
CAND_0015065,41,0.84,m.sc in machine learning; m.tech in data science,"embeddings, data science, llamaindex, qdrant, css","delhi, delhi",3.9,Built ranking systems at scale; minor: Junior (3.9 years; role needs 6-8)
CAND_0040178,42,0.84,ph.d in information technology,"weaviate, fine-tuning llms, tts, vector search, learning to rank","pune, maharashtra",5.0,Built ranking systems at scale
CAND_0042100,43,0.84,b.tech in information technology,"elasticsearch, statistical modeling, learning to rank, recommendation systems, semantic search",singapore,7.3,Built ranking systems at scale
CAND_0043381,44,0.84,b.sc in computer engineering,"scikit-learn, etl, bm25, forecasting, opensearch","pune, maharashtra",3.6,Built ranking systems at scale; minor: Junior (3.6 years; role needs 6-8)
CAND_0044883,45,0.84,b.sc in machine learning,"cnn, bm25, computer vision, prompt engineering, embeddings",berlin,6.3,Built ranking systems at scale
CAND_0046132,46,0.84,m.e. in machine learning,"kubeflow, data science, opencv, information retrieval, gans","noida, uttar pradesh",4.3,Built ranking systems at scale
CAND_0052335,47,0.84,b.e. in data science,"diffusion models, pytorch, gans, machine learning, learning to rank",berlin,6.4,Built ranking systems at scale
CAND_0071974,48,0.84,m.sc in artificial intelligence,"lora, learning to rank, weaviate, peft, bm25","vizag, andhra pradesh",7.8,Built ranking systems at scale
CAND_0079387,49,0.84,m.sc in computer science; b.e. in data science,"scikit-learn, recommendation systems, python, time series, sentence transformers","trivandrum, kerala",6.9,Built ranking systems at scale
CAND_0090155,50,0.84,m.e. in information technology,"opencv, weights & biases, gans, milvus, cnn","pune, maharashtra",5.8,Strong ML background with 5.8 years experience
CAND_0091890,51,0.84,m.e. in computer engineering,"statistical modeling, scikit-learn, weights & biases, elasticsearch, pinecone","hyderabad, telangana",4.7,Built ranking systems at scale
CAND_0094685,52,0.84,b.sc in machine learning; ph.d in data science,"weaviate, feature engineering, mlflow, mlops, yolo","pune, maharashtra",3.5,Built ranking systems at scale; minor: Junior (3.5 years; role needs 6-8)
CAND_0062413,53,0.8375,m.sc in computer science; m.e. in artificial intelligence,"asr, diffusion models, learning to rank, semantic search, opensearch","mumbai, maharashtra",6.6,ML engineering background (ai research engineer)
CAND_0016170,54,0.835,b.e. in computer engineering,"sentence transformers, reinforcement learning, time series, postgresql, embeddings",sydney,6.8,Built ranking systems at scale
CAND_0021491,55,0.835,b.sc in artificial intelligence,"recommendation systems, docker, speech recognition, spring boot, scikit-learn","bhubaneswar, odisha",6.1,Strong ML background with 6.1 years experience
CAND_0001131,56,0.835,b.sc in data science; b.tech in artificial intelligence,"semantic search, speech recognition, computer vision, vector search, rag","chennai, tamil nadu",5.8,Strong ML background with 5.8 years experience
CAND_0002025,57,0.835,m.sc in data science; m.s. in data science,"diffusion models, faiss, tensorflow, scikit-learn, opensearch","trivandrum, kerala",5.9,Built ranking systems at scale
CAND_0005538,58,0.835,b.tech in data science,"project management, vector representations, deep learning, content matching, apache flink","kolkata, west bengal",5.9,Built ranking systems at scale
CAND_0007412,59,0.835,m.tech in computer science; m.s. in artificial intelligence,"node.js, scikit-learn, data science, pinecone, milvus","noida, uttar pradesh",7.4,Built ranking systems at scale; minor: 120-day notice period
CAND_0024620,60,0.835,m.sc in information technology,"statistical modeling, object detection, semantic search, bm25, information retrieval",new york,5.9,Built ranking systems at scale
CAND_0033987,61,0.835,m.sc in artificial intelligence,"recommendation systems, feature engineering, peft, kubeflow, image classification","delhi, delhi",6.8,Built ranking systems at scale
CAND_0053591,62,0.835,m.tech in information technology,"langchain, reinforcement learning, embeddings, milvus, opensearch",toronto,5.3,Built ranking systems at scale
CAND_0065195,63,0.835,m.sc in artificial intelligence,"llms, bentoml, qlora, scikit-learn, diffusion models","kolkata, west bengal",5.1,Deep embeddings and vector search experience
CAND_0069248,64,0.835,m.tech in computer science,"opencv, illustrator, computer vision, bentoml, tensorflow","vizag, andhra pradesh",5.4,Built ranking systems at scale; minor: 120-day notice period
CAND_0073504,65,0.835,ph.d in electrical engineering; m.sc in information technology,"elasticsearch, angular, langchain, image classification, tts","gurgaon, haryana",6.6,Built ranking systems at scale
CAND_0075574,66,0.835,m.s. in computer science,"hugging face transformers, pgvector, weaviate, recommendation systems, opensearch","bangalore, karnataka",5.7,Built ranking systems at scale
CAND_0094165,67,0.835,ph.d in data science; m.e. in chemical engineering,"object detection, hadoop, data pipelines, time series, speech recognition","chandigarh, chandigarh",5.8,Strong ML background with 5.8 years experience
CAND_0090300,68,0.83,m.tech in data science; m.s. in information technology,"data science, mlflow, machine learning, fine-tuning llms, bentoml",san francisco,5.3,Built ranking systems at scale; minor: 120-day notice period
CAND_0005311,69,0.83,b.tech in computer engineering; b.sc in computer science,"lora, feature engineering, bentoml, prompt engineering, fastapi","mumbai, maharashtra",5.7,Strong ML background with 5.7 years experience
CAND_0028793,70,0.83,b.e. in artificial intelligence; b.sc in computer engineering,"sap, kubeflow, embeddings, haystack, yolo","trivandrum, kerala",7.2,Built ranking systems at scale; minor: 120-day notice period
CAND_0035879,71,0.83,b.e. in machine learning; m.e. in machine learning,"ci/cd, vue.js, statistical modeling, css, pinecone","noida, uttar pradesh",4.5,Built ranking systems at scale; minor: 120-day notice period
CAND_0042506,72,0.83,b.tech in machine learning; m.e. in computer science,"peft, tts, scikit-learn, opencv, semantic search","mumbai, maharashtra",4.2,Built ranking systems at scale
CAND_0043860,73,0.83,m.e. in artificial intelligence,"pgvector, feature engineering, object detection, semantic search, information retrieval","bhubaneswar, odisha",6.1,Built ranking systems at scale
CAND_0044222,74,0.83,m.sc in machine learning,"vector search, llamaindex, opensearch, java, qdrant","vizag, andhra pradesh",7.7,Built ranking systems at scale
CAND_0048509,75,0.83,b.tech in information technology,"statistical modeling, data science, learning to rank, pinecone, next.js","noida, uttar pradesh",4.2,Strong ML background with 4.2 years experience
CAND_0076251,76,0.83,b.e. in data science,"fine-tuning llms, reinforcement learning, hugging face transformers, weaviate, time series","bhubaneswar, odisha",7.6,Strong retrieval/search systems expertise
CAND_0082489,77,0.83,b.e. in computer science; m.tech in information technology,"kubeflow, haystack, weaviate, mlflow, redux","noida, uttar pradesh",5.3,Built ranking systems at scale
CAND_0091534,78,0.83,m.tech in computer engineering,"hugging face transformers, scikit-learn, diffusion models, qdrant, sentence transformers","gurgaon, haryana",16.6,Built ranking systems at scale
CAND_0091909,79,0.83,m.e. in information technology,"llms, image classification, pinecone, diffusion models, qlora","bangalore, karnataka",6.9,Built ranking systems at scale
CAND_0030468,80,0.825,m.tech in machine learning; m.tech in machine learning,"information retrieval systems, content matching, text encoders, tensorflow, search & discovery","indore, madhya pradesh",5.4,Built ranking systems at scale
CAND_0038949,81,0.825,b.sc in computer science,"pgvector, diffusion models, reinforcement learning, kubeflow, elasticsearch","bhubaneswar, odisha",6.4,Strong ML background with 6.4 years experience; minor: 120-day notice period
CAND_0047521,82,0.825,m.s. in computer engineering; b.sc in computer science,"yolo, fastapi, llamaindex, speech recognition, scikit-learn","mumbai, maharashtra",4.4,Built ranking systems at scale; minor: 120-day notice period
CAND_0067535,83,0.825,b.e. in information technology,"deep learning, bentoml, flask, java, yolo","jaipur, rajasthan",6.8,Built ranking systems at scale
CAND_0092255,84,0.825,b.e. in artificial intelligence,"machine learning, pytorch, statistical modeling, figma, weaviate","noida, uttar pradesh",5.2,Built ranking systems at scale
CAND_0001819,85,0.825,m.tech in information technology; m.tech in computer science,"apache flink, object detection, weaviate, pytorch, recommendation systems","coimbatore, tamil nadu",4.4,Strong ML background with 4.4 years experience
CAND_0004972,86,0.825,m.tech in artificial intelligence,"data science, semantic search, rag, tts, postgresql","gurgaon, haryana",6.0,Strong ML background with 6.0 years experience
CAND_0016163,87,0.825,m.e. in machine learning,"hugging face transformers, computer vision, grpc, time series, weaviate","gurgaon, haryana",6.7,Strong retrieval/search systems expertise; minor: 120-day notice period
CAND_0020708,88,0.825,m.sc in machine learning; b.e. in data science,"tally, nlp, data science, statistical modeling, scikit-learn","indore, madhya pradesh",4.2,Strong retrieval/search systems expertise
CAND_0032271,89,0.825,m.sc in artificial intelligence,"langchain, peft, redux, image classification, kafka","hyderabad, telangana",6.6,Built ranking systems at scale; minor: 120-day notice period
CAND_0036437,90,0.825,b.tech in machine learning,"go, kubeflow, opensearch, elasticsearch, feature engineering","kolkata, west bengal",4.8,Built ranking systems at scale
CAND_0061175,91,0.825,m.e. in machine learning,"python, milvus, recommendation systems, vector search, llamaindex","gurgaon, haryana",6.7,Built ranking systems at scale; minor: 120-day notice period
CAND_0068351,92,0.825,m.e. in computer science; b.tech in computer engineering,"pgvector, deep learning, qdrant, elasticsearch, feature engineering","delhi, delhi",6.4,Built ranking systems at scale
CAND_0068811,93,0.825,ph.d in artificial intelligence; m.e. in information technology,"data science, vector search, speech recognition, tts, kubeflow","pune, maharashtra",8.0,Built ranking systems at scale
CAND_0072232,94,0.825,m.e. in information technology,"tensorflow, reinforcement learning, mlflow, powerpoint, forecasting","kolkata, west bengal",4.0,Built ranking systems at scale
CAND_0081709,95,0.825,b.sc in machine learning; b.tech in data science,"weaviate, image classification, time series, scrum, peft","jaipur, rajasthan",5.5,Strong ML background with 5.5 years experience
CAND_0087630,96,0.825,b.e. in data science,"data science, gans, asr, elasticsearch, flask","gurgaon, haryana",7.2,Built ranking systems at scale
CAND_0089470,97,0.825,m.tech in artificial intelligence,"pytorch, feature engineering, graphql, weaviate, bm25","pune, maharashtra",6.5,Strong ML background with 6.5 years experience
CAND_0059017,98,0.8225,ph.d in computer science,"speech recognition, sentence transformers, faiss, object detection, machine learning","ahmedabad, gujarat",6.8,ML engineering background (ai research engineer)
CAND_0025640,99,0.82,m.e. in computer engineering,"semantic search, peft, information retrieval, weights & biases, faiss","jaipur, rajasthan",5.6,Built ranking systems at scale
CAND_0036121,100,0.82,m.sc in physics,"scrum, embeddings, diffusion models, statistical modeling, bm25","chennai, tamil nadu",5.2,Strong ML background with 5.2 years experience
